time,pelvis_tx,pelvis_ty,pelvis_tilt,q_hip_r,q_knee_r,q_ankle_r,q_hip_l,q_knee_l,q_ankle_l
0.44,0.528,0.03700273871508474,-0.044785823618651056,-0.1407978053630253,-0.17622271573087694,0.1534316681371021,0.3389798115771646,-0.03565975022791324,0.022362949240169298
0.45,0.54,0.035653032037120044,-0.04321908686628518,-0.1483823946287937,-0.18879874735493118,0.1546497774528076,0.3358434512875476,-0.026919450383670267,0.021583741217389672
0.46,0.552,0.034397887387826905,-0.04128424585620134,-0.1548434653429466,-0.20427290196087564,0.15456843804477494,0.3349087550938032,-0.03198579592514837,0.012433092089105422
0.47000000000000003,0.5640000000000001,0.03324185703278422,-0.03911171643708234,-0.15991540308107077,-0.22279406716649225,0.15299098590654733,0.3360761387667215,-0.04956605048129689,-0.005515840619194164
0.48,0.576,0.03218997274597584,-0.03641369534681114,-0.16425877913031098,-0.24381459314485907,0.14939421702005307,0.33698860264367875,-0.07458031298769563,-0.028623886241103652
0.49,0.588,0.03125747715564375,-0.03283589132323667,-0.16859668267826441,-0.2668203406681224,0.14316612012909463,0.33427896178550276,-0.09867518117330985,-0.05046661186579485
0.5,0.6,0.030469628128879402,-0.028619384844838697,-0.172221604023577,-0.2924080707277839,0.13399861575993469,0.3282221675948229,-0.11948994735903305,-0.0686887468874099
0.51,0.612,0.029849687765892044,-0.02417669462323469,-0.17391648659214895,-0.32162447989037607,0.12160112005703089,0.3210582997731377,-0.1397739979508128,-0.08130222136427581
0.52,0.624,0.029427768236791257,-0.019644255251580697,-0.17300812273636434,-0.3550956881952841,0.10521203926416507,0.31359472732112936,-0.16104152846846556,-0.08462115661040145
0.53,0.636,0.029221563067512706,-0.015338533142870557,-0.16848739927675344,-0.39355092213216547,0.08388541836962084,0.3064646863019196,-0.18352994095066474,-0.0791499559095748
0.54,0.648,0.029200621090453842,-0.01230632818421454,-0.15798112202148934,-0.4383394123099622,0.056757099152736856,0.30366821712681347,-0.21231507374769146,-0.061362416173511625
0.55,0.66,0.02938712602442242,-0.010084230668236608,-0.1423793431481095,-0.4881839853866436,0.021561421190424652,0.30238869702776794,-0.24262760961333873,-0.03692111373137521
0.56,0.672,0.029792654500066233,-0.007962318258893656,-0.12335368158122849,-0.5407986002639918,-0.024239803777015647,0.2986596120570167,-0.267799641758664,-0.014991255035683854
0.5700000000000001,0.684,0.030385933052144043,-0.005867929694664235,-0.10179189523920416,-0.5935899274589745,-0.08313277178072692,0.29192320212006023,-0.2868336861616163,0.003324116865083233
0.58,0.696,0.031126838733445166,-0.003959045303817371,-0.07871546903758395,-0.6430673471398674,-0.15746029973112918,0.2828504447397009,-0.30064528112132477,0.01889070093659336
0.59,0.708,0.031947844308579325,-0.0024380349813931364,-0.05472758203511392,-0.6876474700480587,-0.24477992380268807,0.27248336416084007,-0.31066562239706025,0.032333848285131646
0.6,0.72,0.032649760555574545,-0.001258605442441725,-0.029087667664721754,-0.7357612968127203,-0.30592115799891856,0.26175206306402954,-0.3188718099805746,0.04588433886029753
0.61,0.732,0.033269935423835995,-0.00019241073395984964,-0.002459425348462391,-0.7875432930749575,-0.33752147347401534,0.2502609806515671,-0.32510417431570104,0.059436927872795656
0.62,0.744,0.03385992979258551,0.0008181361639200507,0.024774902822065282,-0.8417360278664715,-0.3443002538184037,0.23768830360122953,-0.3289153262624579,0.07282358780164955
0.63,0.756,0.03447884102708993,0.0014176385640563842,0.05321093229849514,-0.895805655992934,-0.33823239039017117,0.22454882078961166,-0.3302621443605341,0.08515127898569583
0.64,0.768,0.03516328061214239,0.0016898655481736241,0.08239159438922743,-0.9480437354811354,-0.32659090181742045,0.21066408872088324,-0.3290214661263091,0.0962330023373959
0.65,0.78,0.03594152523014414,0.0017136960828544841,0.11168778279258844,-0.9966292854006761,-0.31225120480049945,0.19589605282297537,-0.3251346602340081,0.10585207312791162
0.66,0.792,0.03683118639306138,0.0015124805554957404,0.14059534899857623,-1.0398405042482686,-0.2963139091066426,0.180277346774073,-0.3187049702647217,0.11370221992263817
0.67,0.804,0.03784316655704803,0.0011433830016040962,0.16835998062857682,-1.0756827870224492,-0.277285346326722,0.16381308943872927,-0.3098731061168116,0.11948493534868196
0.68,0.8160000000000001,0.03898207314744764,0.0006778276598576471,0.19408155706399327,-1.101894575361551,-0.25365390078624284,0.14661480988404926,-0.29898958940361714,0.12278557277127587
0.6900000000000001,0.8280000000000001,0.04023032735109902,0.00012427739566807684,0.21746075087287048,-1.1174419867601642,-0.227035269289361,0.12916224593687034,-0.286908207578645,0.12331841897396828
0.7000000000000001,0.8400000000000001,0.04155872519862831,-0.00047465476104812217,0.238242043501142,-1.1217274596204387,-0.19972677257285296,0.11184323368164752,-0.2745812090481902,0.12211293721585241
0.71,0.852,0.04290963874689306,-0.001125414987734871,0.2568601627726924,-1.116424132041776,-0.17179107171415212,0.09486760383643755,-0.26263432814864146,0.12101590602395734
0.72,0.864,0.04424026529751123,-0.0018178597922681285,0.2733668613916907,-1.1023422013953104,-0.14221732376624258,0.07814315626061188,-0.2510018711557773,0.1204115170476878
0.73,0.876,0.04550389645037637,-0.002625351836244982,0.2882890250732962,-1.0807798967493483,-0.11468100470015523,0.06179678696986525,-0.23968848875230636,0.11991595517091443
0.74,0.888,0.04665643058998842,-0.0036131263658349846,0.3020402786447182,-1.053010180583065,-0.09039109991153366,0.04594492850611488,-0.22872881687555963,0.11933838432037792
0.75,0.8999999999999999,0.0476646709694986,-0.0047800491789632615,0.31460743969365645,-1.0196840632997772,-0.06733025909715556,0.030473151195781645,-0.21792678315995076,0.11861767178833002
0.76,0.9119999999999999,0.04849755821356165,-0.006226284418178038,0.32639211241924454,-0.9817592417937465,-0.047295045079876155,0.01568092300327037,-0.20761745917345314,0.11789149569321522
0.77,0.9239999999999999,0.04913857044957457,-0.008004157702725586,0.3374944366219121,-0.9394661572060908,-0.03300668299174245,0.0016994098843901182,-0.19794669785989555,0.11726970238785363
0.78,0.9359999999999999,0.049570581538810186,-0.010125674948378231,0.3479852690537381,-0.8935429294397694,-0.023208922488189107,-0.011503872824893678,-0.18886523270879413,0.11688280392291786
0.79,0.948,0.049786490713730445,-0.012613776098332152,0.3576885017920962,-0.844129947589366,-0.014303780454234163,-0.023853025490842096,-0.18050765937654983,0.1168733770169036
0.8,0.96,0.04978483456505908,-0.015485097909379086,0.3664238681562591,-0.7912645103614286,-0.0033894071045968465,-0.03527164556416658,-0.17302425708839578,0.11737448612853502
0.81,0.972,0.04958474704045945,-0.01876437722075386,0.3739006762440585,-0.7338919118478211,0.002746524496517265,-0.045661430092824896,-0.1665565353682651,0.11836925917808534
0.8200000000000001,0.984,0.04919927214608646,-0.02239816970384919,0.3794078126924439,-0.6710065342344552,0.008060937295106659,-0.05511013440090302,-0.16111251857708095,0.11982924626324054
0.8300000000000001,0.996,0.04864188818431077,-0.026366000595261806,0.38270637832545734,-0.6018975627468336,0.007435434182831722,-0.06360738223132147,-0.15678590186722582,0.12175472471351544
0.84,1.008,0.04791103198335114,-0.030471055354944997,0.3836243026450888,-0.5274664508232849,0.0010515059512603948,-0.07154515142728371,-0.15336583243773397,0.12414352920289227
0.85,1.02,0.047002593676783236,-0.03454831629670322,0.3822472164725727,-0.4494215891950076,-0.006785859620373158,-0.07914938230560292,-0.1508837151874198,0.12708850446092881
0.86,1.032,0.04591432229653437,-0.03834934544844755,0.37889074087656954,-0.3708958230598465,-0.011994709437322622,-0.08670844380411205,-0.14944806050828965,0.13063463070471898
0.87,1.044,0.04467014757375325,-0.04156790366852246,0.3736625048761141,-0.2946087221337399,-0.01265805013304821,-0.09461599960986493,-0.14907106053954078,0.13461109967702384
0.88,1.056,0.04330164428980219,-0.04401140596018299,0.3669365072245662,-0.2233181299636654,-0.007693695240814747,-0.10299425348029582,-0.14997043937152818,0.13881395479163366
0.89,1.068,0.04185149605605509,-0.045621746223344486,0.35951811689396007,-0.15979935988351238,-0.00204144778018247,-0.111683604475301,-0.15253064055985796,0.14301767400039408
0.9,1.08,0.04036091668531969,-0.04634460464938409,0.3520831316185193,-0.10674160174693023,0.00540152215091098,-0.1205966792407545,-0.15699254891657824,0.1469525231708743
0.91,1.092,0.03887280028383179,-0.04622727672716031,0.34533780155917604,-0.06616241515662735,0.013647650549828739,-0.12950465002417133,-0.1635990745450929,0.15033939423679277
0.92,1.104,0.03742585798928352,-0.04538724789421448,0.3399619629888828,-0.03944138426779055,0.020387414483426736,-0.13806050027189026,-0.17264749350522385,0.15294229199125492
0.93,1.116,0.03605067831131548,-0.04398716855327371,0.3365411966394673,-0.027225186989876898,0.022176627302582252,-0.14587692999123944,-0.1844036642254291,0.15453829755307305
0.9400000000000001,1.1280000000000001,0.0347661342447496,-0.042205242922337995,0.33547281851545413,-0.029389182303014717,0.01615354146071514,-0.15257654899265533,-0.19908959205717341,0.15492947289328546
0.9500000000000001,1.1400000000000001,0.03357873335022831,-0.04018990006548752,0.3368052500798688,-0.04494675203263612,0.001334340685824732,-0.15785638619087872,-0.21687721482342293,0.15392514191538276
0.96,1.152,0.03249788690893295,-0.037652983687427796,0.3380914727781623,-0.0685839230173638,-0.021101268752866994,-0.1623560461747888,-0.2372584584878439,0.15098820306858568
0.97,1.164,0.03101186740995147,-0.03163052910701871,0.3323787270220483,-0.10481435236163915,-0.05784360929163606,-0.16998422472627356,-0.273505000292305,0.14101198250691419
0.98,1.176,0.0302794682374093,-0.02718729793879032,0.32519315695905726,-0.12436934209778915,-0.07495184564691486,-0.17331284972142072,-0.30006966997837475,0.13082215437264616
0.99,1.188,0.029721648631264936,-0.02268055934218985,0.31775737004872434,-0.1446286084002315,-0.08547648444773012,-0.17425426424097962,-0.3306318233916768,0.11727676403539136
1.0,1.2,0.029362212545071573,-0.01832787747820173,0.31107912776807467,-0.16748139239102441,-0.08432017745495413,-0.17196893434639665,-0.36590329197733,0.09956143338214465
1.01,1.212,0.029217086363931173,-0.014386605054193757,0.30526771485983434,-0.19201974696432506,-0.07453288438495116,-0.16561834559845118,-0.40639223519274476,0.07653806542867081
1.02,1.224,0.029261627200943538,-0.011658702137178534,0.30325117444677363,-0.22182850592839368,-0.05377788035112727,-0.15339348489135232,-0.4529217615202776,0.047040815356925524
1.03,1.236,0.029520679235484758,-0.009479552910614059,0.30128817458621854,-0.2507159491226076,-0.029651609235402773,-0.1366693043991629,-0.5037394647879502,0.008610459768147435
1.04,1.248,0.02998988736384188,-0.007349272300301397,0.2965169516117222,-0.2738178137909907,-0.008919086378078917,-0.11685138393162753,-0.5564826967708068,-0.04123362334867052
1.05,1.26,0.030631572631560914,-0.00530350696664708,0.28898982031986686,-0.2911283719354397,0.008479513321280063,-0.0948234609565086,-0.6083294866632265,-0.10475911716985208
1.06,1.2719999999999998,0.03140136869169438,-0.0035215573971663027,0.27952484396526545,-0.3037597081674717,0.023287787353508945,-0.0714870424325729,-0.656224189608976,-0.1836362300482358
1.07,1.2839999999999998,0.03218677911434181,-0.002133777013239161,0.26912991797557706,-0.3132919498986839,0.03661839494580893,-0.046946489936106735,-0.7019117807522018,-0.263282657833284
1.08,1.2959999999999998,0.03286247594786451,-0.0010142388560654045,0.2582561430424092,-0.32098236219041987,0.050044925734919046,-0.020947125824761197,-0.7512536496654902,-0.31533649042759687
1.0899999999999999,1.3079999999999998,0.03347101701019253,5.1856225856817575e-05,0.2464267460992053,-0.3265013441488502,0.06352390448415114,0.0058409161571681125,-0.8039228386808317,-0.33922408629875556
1.1,1.3199999999999998,0.03406894835462382,0.0009473235137800419,0.23366005460625883,-0.3295455297944714,0.07656768991932189,0.03344316172735571,-0.858101895166162,-0.342861670906634
1.1099999999999999,1.3319999999999999,0.0347080581288114,0.0014661458139192062,0.22024354898585463,-0.3300581569715389,0.08851582177474845,0.06211406886102724,-0.9115671189411821,-0.3369601121246317
1.1199999999999999,1.3439999999999999,0.03541987359614979,0.0016915714218705292,0.2060201483260127,-0.32795911611738426,0.09919225818145985,0.09130735897127364,-0.9627955938347865,-0.3247871139465406
1.13,1.3559999999999999,0.03623174683612461,0.0016688095489185316,0.19094238876466146,-0.3232588504139652,0.10829472073888602,0.12049477053294474,-1.0098447906327965,-0.31059449339142975
1.14,1.3679999999999999,0.03715512312778854,0.0014183372182351697,0.17507811571743234,-0.3161205499751527,0.11554299340690218,0.149181919854222,-1.051243661852121,-0.29349986767356856
1.15,1.38,0.03819967251650306,0.00102354233586957,0.15838179109747932,-0.3066644251731713,0.12067297097472839,0.17645456599201326,-1.0848424502164522,-0.270684635185428
1.16,1.392,0.03936761142924939,0.0005240585599074462,0.141117516902602,-0.2954097268001511,0.12312540279093373,0.2016713005279252,-1.108466687231207,-0.24517566717284686
1.17,1.404,0.04064752365379078,-6.605587511581739e-06,0.12359544093813656,-0.283101054708587,0.12285993555138144,0.22413202033711704,-1.1204433914035834,-0.21708199608199916
1.18,1.416,0.04199137284128025,-0.0005952133250508537,0.10636091644973643,-0.27089556022065553,0.12158450129194598,0.2441491723653131,-1.1215439953173396,-0.18915588918413656
1.19,1.428,0.04334803555748505,-0.0012401485452330542,0.08947912269207774,-0.25912771520715006,0.1207194682277213,0.26199281525183377,-1.1130749538812734,-0.1610515851930088
1.2,1.44,0.04466705649023582,-0.0019669313516200507,0.07292121445433454,-0.24768895462574866,0.12021687642061654,0.2780332721464185,-1.0965124830123962,-0.13280767168042665
1.21,1.452,0.045911087562345416,-0.0028328454608638563,0.05678185572518879,-0.23656886405059008,0.11968075948846092,0.29252139867099547,-1.072427075971276,-0.10807900720284465
