time,marker_marker_hip_r_x,marker_marker_hip_r_y,marker_marker_hip_r_z,marker_marker_hip_l_x,marker_marker_hip_l_y,marker_marker_hip_l_z,marker_marker_shoulder_r_x,marker_marker_shoulder_r_y,marker_marker_shoulder_r_z,marker_marker_shoulder_l_x,marker_marker_shoulder_l_y,marker_marker_shoulder_l_z,marker_marker_knee_r_x,marker_marker_knee_r_y,marker_marker_knee_r_z,marker_marker_ankle_r_x,marker_marker_ankle_r_y,marker_marker_ankle_r_z,marker_marker_heel_r_x,marker_marker_heel_r_y,marker_marker_heel_r_z,marker_marker_toe_r_x,marker_marker_toe_r_y,marker_marker_toe_r_z,marker_marker_knee_l_x,marker_marker_knee_l_y,marker_marker_knee_l_z,marker_marker_ankle_l_x,marker_marker_ankle_l_y,marker_marker_ankle_l_z,marker_marker_heel_l_x,marker_marker_heel_l_y,marker_marker_heel_l_z,marker_marker_toe_l_x,marker_marker_toe_l_y,marker_marker_toe_l_z
0.43,0.5356384,0.955831,0.031666666,0.5356384,0.955831,-0.031666666,0.5953157,1.56596,0.05277778,0.5953157,1.56596,-0.05277778,0.45817214,0.54837906,0.02111111,0.3135004,0.102339804,0.02111111,0.21565354,0.059099842,0.015833333,0.45796025,0.033134893,0.015833333,0.6664306,0.5708662,-0.02111111,0.7887739,0.12033424,-0.02111111,0.72337747,0.03521417,-0.015833333,0.9528705,0.117187805,-0.015833333
0.44,0.5476722,0.95442265,0.031666666,0.5476722,0.95442265,-0.031666666,0.6067168,1.5646132,0.05277778,0.6067168,1.5646132,-0.05277778,0.46694466,0.5473865,0.02111111,0.31479827,0.10365561,0.02111111,0.21629235,0.06196513,0.015833333,0.45818573,0.03239613,0.015833333,0.6767568,0.56883824,-0.02111111,0.8069389,0.12099898,-0.02111111,0.7434731,0.03443777,-0.015833333,0.9708833,0.1220238,-0.015833333
0.45,0.55972326,0.95310384,0.031666666,0.55972326,0.95310384,-0.031666666,0.6178118,1.5633862,0.05277778,0.6178118,1.5633862,-0.05277778,0.47630024,0.5464123,0.02111111,0.31615108,0.10527176,0.02111111,0.21692276,0.06534585,0.015833333,0.45826584,0.03157845,0.015833333,0.6881003,0.5672556,-0.02111111,0.82125103,0.120480984,-0.02111111,0.7583644,0.033496965,-0.015833333,0.9852102,0.12253468,-0.015833333
0.46,0.57178617,0.9518869,0.031666666,0.57178617,0.9518869,-0.031666666,0.62869376,1.5622805,0.05277778,0.62869376,1.5622805,-0.05277778,0.48631278,0.54545,0.02111111,0.317643,0.10721117,0.02111111,0.21763375,0.06928265,0.015833333,0.4582501,0.030675791,0.015833333,0.70051867,0.56614876,-0.02111111,0.8319899,0.11876625,-0.02111111,0.76824576,0.032396723,-0.015833333,0.9962485,0.11842855,-0.015833333
0.47000000000000003,0.58385676,0.95077395,0.031666666,0.58385676,0.95077395,-0.031666666,0.63943815,1.5612898,0.05277778,0.63943815,1.5612898,-0.05277778,0.4970404,0.5444862,0.02111111,0.31934354,0.109493256,0.02111111,0.21850267,0.07381347,0.015833333,0.4581676,0.029683605,0.015833333,0.71391475,0.56549114,-0.02111111,0.8394811,0.11603671,-0.02111111,0.7735443,0.031313233,-0.015833333,1.0041977,0.109962516,-0.015833333
0.48,0.5959442,0.9497757,0.031666666,0.5959442,0.9497757,-0.031666666,0.64987826,1.5604392,0.05277778,0.64987826,1.5604392,-0.05277778,0.50831854,0.54354507,0.02111111,0.32117122,0.11215955,0.02111111,0.21945713,0.07900001,0.015833333,0.4578806,0.028591864,0.015833333,0.727422,0.5649832,-0.02111111,0.844022,0.11259559,-0.02111111,0.77507955,0.030293386,-0.015833333,1.0090042,0.09860135,-0.015833333
0.49,0.6080601,0.94891477,0.031666666,0.6080601,0.94891477,-0.031666666,0.65980893,1.5597672,0.05277778,0.65980893,1.5597672,-0.05277778,0.5199852,0.5426641,0.02111111,0.32303524,0.11526528,0.02111111,0.22041646,0.08492722,0.015833333,0.45722094,0.02739156,0.015833333,0.7397842,0.5641823,-0.02111111,0.84650326,0.108873636,-0.02111111,0.77457076,0.029182363,-0.015833333,1.0113354,0.0868817,-0.015833333
0.5,0.62019634,0.94821185,0.031666666,0.62019634,0.94821185,-0.031666666,0.66936904,1.5592773,0.05277778,0.66936904,1.5592773,-0.05277778,0.5322447,0.54183614,0.02111111,0.32511383,0.118845105,0.02111111,0.22157386,0.09166948,0.015833333,0.45627493,0.02607885,0.015833333,0.75101644,0.56311584,-0.02111111,0.8479614,0.10521698,-0.02111111,0.7733627,0.028037872,-0.015833333,1.0122875,0.076013416,-0.015833333
0.51,0.6323394,0.94768196,0.031666666,0.6323394,0.94768196,-0.031666666,0.6787969,1.5589597,0.05277778,0.6787969,1.5589597,-0.05277778,0.54545015,0.5410317,0.02111111,0.3277,0.12293112,0.02111111,0.22324324,0.09930991,0.015833333,0.45521843,0.02464918,0.015833333,0.76188016,0.5620866,-0.02111111,0.8488187,0.1017952,-0.02111111,0.77187896,0.02697232,-0.015833333,1.0123607,0.066409044,-0.015833333
0.52,0.644485,0.9473525,0.031666666,0.644485,0.9473525,-0.031666666,0.68817145,1.5588346,0.05277778,0.68817145,1.5588346,-0.05277778,0.5598387,0.5402542,0.02111111,0.33103487,0.12757528,0.02111111,0.2256934,0.107966766,0.015833333,0.4541245,0.023078859,0.015833333,0.772655,0.5612271,-0.02111111,0.8490089,0.09866756,-0.02111111,0.77013254,0.025896188,-0.015833333,1.0116084,0.058701333,-0.015833333
0.53,0.6566229,0.94723475,0.031666666,0.6566229,0.94723475,-0.031666666,0.69767606,1.5588993,0.05277778,0.69767606,1.5588993,-0.05277778,0.57571745,0.5394987,0.02111111,0.33545983,0.13281214,0.02111111,0.22930878,0.11774785,0.015833333,0.45311978,0.021335356,0.015833333,0.78347325,0.56060266,-0.02111111,0.84870553,0.09594029,-0.02111111,0.76825094,0.024905864,-0.015833333,1.0103301,0.052913617,-0.015833333
0.54,0.6687198,0.94727653,0.031666666,0.6687198,0.94727653,-0.031666666,0.7079181,1.5590627,0.05277778,0.7079181,1.5590627,-0.05277778,0.593676,0.53870195,0.02111111,0.3416221,0.1386027,0.02111111,0.23480281,0.1286789,0.015833333,0.45260733,0.019372381,0.015833333,0.795572,0.5606165,-0.02111111,0.84829354,0.093871236,-0.02111111,0.7666033,0.024230227,-0.015833333,1.0089698,0.049631193,-0.015833333
